dimension,scale,density,solveDEA() (sec.),solve() (sec)
5,25,1,579.16,1669.34
5,25,10,581.42,1685.77
5,25,25,560.71,1671.79
5,50,1,2755.49,7487.93
5,50,10,2560.43,7434.29
5,50,25,2577.92,7550.34
5,75,1,6050.52,18384.48
5,75,10,6694.36,17845.43
5,75,25,6633.91,17595.65
5,100,1,11941.09,32973.53
5,100,10,10468.72,31947.71
5,100,25,10477.39,34701.7
10,25,1,909.95,2910.45
10,25,10,824.61,3016.49
10,25,25,892.72,2956.64
10,50,1,4387.03,12929.89
10,50,10,4481.25,12686.28
10,50,25,4582.91,13040.62
10,75,1,9237.89,29135.82
10,75,10,9644.61,30163.39
10,75,25,9820.19,29441.6
10,100,1,16418.87,52168.29
10,100,10,16226.47,55187.53
10,100,25,18467.46,54184.94
15,25,1,1193.05,4112.77
15,25,10,1126.61,4138.48
15,25,25,1169.67,4116.55
15,50,1,5951.54,17153.81
15,50,10,5766.26,17701.81
15,50,25,5736.37,17269.37
15,75,1,13339.51,40779.45
15,75,10,13700.28,41408.96
15,75,25,12838.19,40945.56
15,100,1,24636.23,79879.71
15,100,10,24079.96,77638.7
15,100,25,24793.55,79331.76
20,25,1,1674.62,5275.87
20,25,10,1677.74,5302.45
20,25,25,1591.45,5329.03
20,50,1,7133.11,22963.05
20,50,10,7730.48,22935.68
20,50,25,7560.33,23183.33
20,75,1,16967.85,55587.71
20,75,10,17563.63,56932.36
20,75,25,17212.77,55777.75
20,100,1,32339.3,105377.85
20,100,10,32108.23,102156.75
20,100,25,33198.72,103177.83
